Employee_ID,Name,Department,Years_Experience,Current_Project_ID,Location,Skills
E163,Mr. Ryan Watson,Cybersecurity,11.8,,Chennai,"Incident Response, Blockchain, NoSQL"
E164,Caitlyn Dixon,DevOps,3.5,,Delhi,"Azure, Quantum Computing, Node.js"
E165,Brad Nichols,Data Science,4.6,,Mumbai,".Net, React, Edge Computing"
E166,Anthony Salinas,Data Science,4.4,,Mumbai,"Microservices Architecture, IoT, Data Governance"
E167,Lauren Green,Cybersecurity,8.0,,Mumbai,"Data Privacy Compliance, Real-time Data Processing, Node.js"
E168,Danielle Maldonado,AI Research,12.6,,Delhi,"Agile Project Management, NLP, NoSQL Database Management"
E169,William Wang,Cloud Engineering,7.9,,Chennai,"PostgreSQL, Data Privacy Compliance, Agile"
E170,Matthew Pierce,Full Stack Dev,6.7,,Delhi,"Terraform, Mobile Development, Edge Computing"
E171,William Smith,DevOps,1.7,,Chennai,".Net, Microservices Architecture, DevOps Practices"
E172,Norma Cabrera,Cloud Engineering,4.5,,Pune,"Azure, TensorFlow, Blockchain"
E173,Angel Norris,DevOps,4.7,,Pune,"Quantum Computing, Cybersecurity, Data Governance"
E174,Cheryl Gaines,Cybersecurity,6.0,,Pune,"Java, Terraform, Scrum"
E175,Joshua Payne,AI Research,11.4,,Chennai,"Java, Real-time Data Processing, CI/CD"
E176,Michael Rodriguez,Cloud Engineering,14.2,,Pune,"Agile Project Management, PostgreSQL, UI/UX Design"
E177,Alice Williams,Data Science,13.4,,Chennai,"Cloud Security, NLP, Big Data"
E178,Karen Willis,AI Research,5.2,,Mumbai,"Serverless Architecture, REST APIs, NoSQL Database Management"
E179,Jessica Goodwin,DevOps,8.2,,Delhi,"Azure, PostgreSQL, Data Visualization"
E180,Crystal Lamb,Full Stack Dev,10.2,,Chennai,"GraphQL API Development, NoSQL, Healthcare Analytics"
E181,Julie Kelley,Data Science,2.9,,Delhi,"CI/CD Pipelines, Cybersecurity, Docker"
E182,Daniel Bowen,Cybersecurity,7.0,,Mumbai,"Robotic Process Automation, Business Intelligence, Big Data"
E183,Regina Zimmerman,Full Stack Dev,13.8,,Delhi,"Node.js, React, Robotic Process Automation"
E184,Cynthia Mckee,DevOps,7.7,,Delhi,"Quantum Computing, UI/UX Design, Data Visualization"
E185,Christina Gonzalez,Cloud Engineering,1.7,,Mumbai,"PostgreSQL, Docker, Python"
E186,Julie White,Cybersecurity,12.4,,Delhi,"Data Engineering, Agile Project Management, Business Intelligence"
E187,Steven Joseph,Full Stack Dev,1.5,,Mumbai,"React, API Development, .Net"
E188,David Mcpherson MD,Full Stack Dev,5.9,,Mumbai,"DevOps Practices, Business Intelligence, CI/CD Pipelines"
E189,Patricia Harris,DevOps,1.4,,Chennai,"Scrum Methodology, Big Data, Data Mesh Architecture"
E190,Debra Robinson,Full Stack Dev,1.5,,Chennai,"REST APIs, TensorFlow, Data Visualization"
E191,Kimberly Rodriguez,Data Science,6.9,,Delhi,"UI/UX Design, DevOps Practices, GraphQL API Development"
E192,Ryan Brown,Full Stack Dev,8.5,,Delhi,"DevOps Practices, Node.js, React"
E193,Adrian Gordon,Cloud Engineering,8.1,,Mumbai,"API Development, Data Visualization, Data Lake Implementation"
E194,Amanda Mcdonald,Cybersecurity,5.6,,Pune,"React, Data Visualization, API Development"
E195,Christopher Bailey,Cybersecurity,13.0,,Mumbai,"Mobile Development, API Development, UI/UX Design"
E196,Michelle Jones,Data Science,3.6,,Pune,"CI/CD, Blockchain, Azure"
E197,Brandon Johnson,AI Research,7.6,,Chennai,"NLP, Data Warehousing, Terraform"
E198,Paul Fisher,Data Science,10.2,,Delhi,"Java, Healthcare Analytics, GraphQL"
E199,Justin Butler,DevOps,12.5,,Delhi,"Docker, CI/CD Pipelines, Edge Computing"
E200,Tracey Reyes,Data Science,12.9,,Mumbai,"Data Visualization, SQL, Penetration Testing"
E201,Jeffrey Garcia,Full Stack Dev,12.3,,Pune,"UI/UX Design, Microservices Architecture, Data Visualization"
E202,Allison Arnold,Cybersecurity,12.6,,Delhi,"AWS, Scrum, CI/CD"
E203,Gregory Brown,AI Research,7.5,,Delhi,"Data Quality Management, Edge Computing, Business Intelligence"
E204,Christopher Barber,Cloud Engineering,3.0,,Mumbai,"TensorFlow, Serverless Architecture, CI/CD"
E205,Kathy Bell,Cloud Engineering,14.9,,Mumbai,"Terraform, REST APIs, SQL"
E206,Molly Henson,Data Science,9.2,,Mumbai,"Agile Project Management, Jenkins, REST APIs"
E207,Eric Sims,Data Science,5.7,,Chennai,"Business Intelligence, Terraform, Data Governance"
E208,Shannon Gardner,DevOps,12.7,,Delhi,"TensorFlow, NLP, CI/CD"
E209,James Travis,Cloud Engineering,5.9,,Chennai,"Mobile Development, IoT, NoSQL Database Management"
E210,Mary Ray,DevOps,8.3,,Pune,"Data Lake Implementation, Serverless Architecture, Jenkins"
E211,Emily Wallace,Cloud Engineering,12.3,,Chennai,"REST APIs, Data Engineering, Data Warehousing"
E212,Alexander Hart,DevOps,13.1,,Chennai,"IoT, .Net, Healthcare Analytics"
E213,Veronica James,Cybersecurity,8.9,,Mumbai,"Kubernetes, React, Data Visualization"
E214,Kristen Brown,Full Stack Dev,2.9,,Pune,"Penetration Testing, Agile, Scrum"
E215,Antonio Lowe,Data Science,5.2,,Pune,"Scrum, NLP, SQL Database Management"
E216,Teresa Moran,Full Stack Dev,1.4,,Pune,"Cloud Security, CI/CD, SQL"
E217,Laura Long,Cloud Engineering,9.1,,Pune,"Cloud Security, AWS, Business Intelligence"
E218,Daniel Bryant,Full Stack Dev,2.2,,Delhi,"TensorFlow, Java, Data Lake Implementation"
E219,Andrew Chavez,AI Research,1.4,,Delhi,"Machine Learning, Penetration Testing, Data Lake Implementation"
E220,Nicholas Chavez,DevOps,5.8,,Delhi,"Data Privacy Compliance, API Development, PostgreSQL"
E221,Bridget Vargas,Cybersecurity,8.2,,Delhi,"Agile Project Management, Python, Data Governance"
E222,Tamara Morris,Cybersecurity,4.2,,Mumbai,"Real-time Data Processing, Node.js, NoSQL"
E223,Melissa Dean,Full Stack Dev,4.0,,Pune,"Java, Agile, Scrum Methodology"
E224,Matthew Sparks,Full Stack Dev,2.5,,Delhi,"PostgreSQL, Real-time Data Processing, CI/CD"
E225,Mitchell Thompson,Cybersecurity,8.0,,Mumbai,"Business Intelligence, SQL, Real-time Data Processing"
E226,Jennifer Collins,AI Research,4.5,,Mumbai,"UI/UX Design, React, API Development"
E227,Rachel Perez,DevOps,9.6,,Mumbai,"Docker, Container Orchestration, TensorFlow"
E228,Yvette Johnson,Cloud Engineering,12.3,,Mumbai,"Scrum, Scrum Methodology, CI/CD Pipelines"
E229,Vincent Barker,Cloud Engineering,1.4,,Mumbai,"Real-time Data Processing, Data Visualization, Business Intelligence"
E230,Elizabeth Williams,DevOps,7.3,,Chennai,"Node.js, Agile Project Management, React"
E231,Gloria Thomas,Data Science,8.7,,Mumbai,"Cloud Security, Mobile Development, DevOps Practices"
E232,Michael Diaz,DevOps,10.0,,Delhi,"Data Privacy Compliance, Data Visualization, SQL Database Management"
E233,Christopher Yu,Cybersecurity,13.5,,Delhi,"Business Intelligence, TensorFlow, CI/CD"
E234,Haley Morris,DevOps,9.0,,Delhi,"CI/CD Pipelines, Business Intelligence, Container Orchestration"
E235,Monica Farrell,Cloud Engineering,9.6,,Mumbai,"Network Security, Azure, Data Privacy Compliance"
E236,Juan Castro,Full Stack Dev,12.6,,Delhi,"DevOps Practices, UI/UX Design, Agile Project Management"
E237,Jacob Doyle,DevOps,6.4,,Chennai,"Data Visualization, Serverless Architecture, Python"
E238,Bryan Preston,Data Science,12.0,,Chennai,"Incident Response, Agile Project Management, DevOps Practices"
E239,Chelsea Williams DVM,Cybersecurity,13.0,,Pune,"Data Engineering, Edge Computing, Big Data"
E240,Jennifer Nielsen,DevOps,4.3,,Chennai,"Agile, Node.js, CI/CD"
E241,Tamara Lee,Full Stack Dev,2.0,,Chennai,"NoSQL Database Management, Agile, GraphQL"
E242,Evan Whitaker,AI Research,6.4,,Mumbai,"Microservices Architecture, Data Engineering, Scrum Methodology"
E243,Samantha Moon,Cloud Engineering,14.7,,Mumbai,"DevOps Practices, AWS, Container Orchestration"
E244,Brett Hopkins,AI Research,4.2,,Chennai,"Scrum Methodology, IoT, DevOps Practices"
E245,Susan Gates,AI Research,2.7,,Chennai,"Cloud Security, Real-time Data Processing, GraphQL"
E246,Jessica Munoz,DevOps,9.7,,Pune,"Container Orchestration, Network Security, Cloud Security"
E247,Ashley Wood,Data Science,7.4,,Delhi,"CI/CD, Terraform, Data Governance"
E248,Daniel Day,DevOps,1.8,,Pune,"CI/CD Pipelines, Healthcare Analytics, Quantum Computing"
E249,Mary Ramirez,Cybersecurity,7.4,,Pune,"CI/CD Pipelines, Microservices Architecture, Agile Project Management"
E250,Kurt Nguyen,Cloud Engineering,3.8,,Mumbai,"Cybersecurity, Data Privacy Compliance, Mobile Development"
E251,Isaac Johnson,DevOps,14.0,,Mumbai,"Scrum Methodology, UI/UX Design, Python"
E252,Douglas Bray,Full Stack Dev,7.1,,Mumbai,"Scrum, Agile Project Management, CI/CD Pipelines"
E253,Jimmy Gonzalez,Cybersecurity,8.4,,Pune,"Scrum Methodology, Cybersecurity, SQL"
E254,Dr. Michelle Barnes,Cloud Engineering,14.9,,Mumbai,"CI/CD, Healthcare Analytics, Edge Computing"
E255,Lisa Baker,Data Science,12.0,,Delhi,"Serverless Architecture, SQL Database Management, Node.js"
E256,Danielle Lopez,Cybersecurity,11.6,,Chennai,"DevOps Practices, Data Warehousing, Data Mesh Architecture"
E257,Lacey Harrington,Cloud Engineering,13.9,,Pune,"SQL, .Net, TensorFlow"
E258,Jamie Singh,Full Stack Dev,3.2,,Pune,"PostgreSQL, Business Intelligence, Robotic Process Automation"
E259,Lauren Thompson,DevOps,5.3,,Chennai,"React, API Development, Data Lake Implementation"
E260,James Stanley,Cloud Engineering,14.5,,Pune,"PostgreSQL, NoSQL, Data Warehousing"
E261,Brett Young,Full Stack Dev,6.2,,Delhi,"Java, Big Data, REST APIs"
E262,Jerry Lee,DevOps,9.5,,Chennai,"NoSQL, Data Lake Implementation, Agile Project Management"
E263,James Green,Cybersecurity,4.6,,Chennai,"NoSQL Database Management, Terraform, Cloud Security"
E264,Brittney Jones,Cybersecurity,12.1,,Mumbai,"Data Engineering, Python, Jenkins"
E265,Gary Luna,Data Science,2.8,,Mumbai,"Kubernetes, GraphQL, CI/CD Pipelines"
E266,Rhonda Johnson,Cloud Engineering,10.6,,Pune,"Blockchain, Container Orchestration, Docker"
E267,Robin Walton,AI Research,9.9,,Mumbai,"API Development, .Net, Data Governance"
E268,Melinda Cortez,DevOps,4.9,,Pune,"Data Warehousing, GraphQL API Development, Data Governance"
E269,Tiffany Martinez,Cybersecurity,4.6,,Delhi,"GraphQL, .Net, Mobile Development"
E270,Rachel Weber,AI Research,6.1,,Pune,"Machine Learning, Data Quality Management, Scrum"
E271,Cameron Morgan,Data Science,7.0,,Pune,"Terraform, NLP, IoT"
E272,Jessica Baker,Full Stack Dev,3.3,,Mumbai,"Kubernetes, CI/CD Pipelines, Agile Project Management"
E273,Steven Silva,AI Research,6.3,,Mumbai,"SQL Database Management, Cybersecurity, SQL"
E274,Ashley Marshall,Full Stack Dev,11.7,,Delhi,"Edge Computing, Docker, Quantum Computing"
E275,Jose Kennedy,AI Research,8.9,,Delhi,"Python, React, Data Engineering"
E276,Jason Shields,Full Stack Dev,9.2,,Delhi,"TensorFlow, Serverless Architecture, Microservices"
E277,Robin Henry,Cloud Engineering,3.0,,Pune,"Java, NoSQL, Agile"
E278,Ann Jordan,Cybersecurity,12.7,,Chennai,"UI/UX Design, SQL, Network Security"
E279,David Smith,Full Stack Dev,12.0,,Chennai,"Scrum, NoSQL Database Management, Data Mesh Architecture"
E280,Robert Hernandez,Data Science,2.1,,Chennai,"Edge Computing, PostgreSQL, REST APIs"
E281,Scott Herrera,DevOps,13.1,,Pune,"SQL Database Management, SQL, Business Intelligence"
E282,Maurice Tucker,AI Research,13.2,,Pune,"Edge Computing, DevOps Practices, Penetration Testing"
E283,Kathryn Mclean DDS,Data Science,2.6,,Chennai,"Data Warehousing, IoT, .Net"
E284,Robin Johnson,Cloud Engineering,14.1,,Chennai,"UI/UX Design, PostgreSQL, Scrum Methodology"
E285,Christopher Adams,Data Science,11.5,,Delhi,"GraphQL API Development, Cloud Security, Incident Response"
E286,William Williams,DevOps,11.0,,Chennai,"Blockchain, Mobile Development, Data Visualization"
E287,Thomas Espinoza,Full Stack Dev,6.9,,Mumbai,"Data Quality Management, React, Docker"
E288,Kristopher Hicks,Cloud Engineering,2.4,,Mumbai,"IoT, API Development, UI/UX Design"
E289,Jennifer Carter,Cybersecurity,14.0,,Mumbai,"Business Intelligence, .Net, Azure"
E290,Robin Bryan,AI Research,7.3,,Delhi,"REST APIs, Real-time Data Processing, Data Lake Implementation"
E291,Seth Dixon,DevOps,11.6,,Chennai,"TensorFlow, IoT, Container Orchestration"
E292,Daniel Smith,Full Stack Dev,10.2,,Delhi,"DevOps Practices, PostgreSQL, Penetration Testing"
E293,Cheryl Parsons,Data Science,14.3,,Mumbai,"Container Orchestration, Big Data, SQL"
E294,Elizabeth Neal,AI Research,8.2,,Mumbai,"GraphQL, AWS, CI/CD"
E295,Dylan Obrien,DevOps,11.2,,Chennai,"Container Orchestration, Data Quality Management, Data Visualization"
E296,Andrew Obrien,Cloud Engineering,14.1,,Pune,"Mobile Development, PostgreSQL, UI/UX Design"
E297,William Charles,DevOps,3.1,,Mumbai,"Robotic Process Automation, Data Engineering, NoSQL Database Management"
E298,Brian Jones,Full Stack Dev,7.2,,Delhi,"NoSQL, Kubernetes, Docker"
E299,Erin Cooper,DevOps,14.7,,Chennai,"Data Lake Implementation, Big Data, Serverless Architecture"
E300,Anthony Watson,Data Science,13.1,,Chennai,"Healthcare Analytics, Data Governance, UI/UX Design"
E301,Teresa Miller,Cybersecurity,5.3,,Chennai,"Data Warehousing, GraphQL, React"
E302,Amber Navarro,Cloud Engineering,14.2,,Mumbai,"DevOps Practices, NoSQL Database Management, Agile Project Management"
E303,Andrea Gonzalez,Data Science,6.7,,Pune,"Data Mesh Architecture, Data Engineering, GraphQL"
E304,Richard Walter,Cloud Engineering,11.1,,Pune,"Penetration Testing, Blockchain, Java"
E305,Kenneth Long,AI Research,7.9,,Mumbai,"Jenkins, NoSQL, Real-time Data Processing"
E306,Eugene Hayes,Cloud Engineering,12.4,,Mumbai,"CI/CD Pipelines, AWS, Data Engineering"
E307,Elizabeth Roberts,Cloud Engineering,12.3,,Chennai,"GraphQL, React, UI/UX Design"
E308,Christopher Alvarez,Full Stack Dev,7.9,,Mumbai,"Agile, Docker, TensorFlow"
E309,Jasmine Carter DDS,Data Science,4.3,,Chennai,"Machine Learning, NLP, Java"
E310,William Gardner,DevOps,3.3,,Delhi,"Data Quality Management, Data Lake Implementation, Java"
E311,Mark Collins MD,Full Stack Dev,9.8,,Chennai,"Microservices Architecture, Kubernetes, Blockchain"
E312,Valerie Oconnell,Cloud Engineering,6.1,,Chennai,"Incident Response, Data Privacy Compliance, SQL"
E313,Tammy Ruiz,Data Science,7.0,,Chennai,"NoSQL Database Management, Python, Network Security"
E314,William Johnson,Cybersecurity,11.0,,Chennai,"PostgreSQL, CI/CD, Data Engineering"
E315,Donna Wilson,AI Research,9.3,,Delhi,"Python, Container Orchestration, Agile Project Management"
E316,Jesse Walker,AI Research,5.4,,Pune,"AWS, Microservices Architecture, Data Engineering"
E317,Kaylee Robinson,Data Science,6.2,,Chennai,"UI/UX Design, NLP, Data Quality Management"
E318,Shelly Thompson,Full Stack Dev,9.0,,Chennai,"REST APIs, IoT, Container Orchestration"
E319,Dana Smith,Full Stack Dev,9.1,,Chennai,".Net, UI/UX Design, DevOps Practices"
E320,Andrea Crawford,DevOps,10.8,,Pune,"SQL Database Management, Data Quality Management, NLP"
E321,William Gill,Data Science,8.3,,Mumbai,"CI/CD Pipelines, React, AWS"
E322,Jonathan Baker,Cloud Engineering,10.0,,Pune,"NoSQL, Business Intelligence, Blockchain"
E323,Christopher Perez,AI Research,11.1,,Pune,"Scrum Methodology, Cybersecurity, Blockchain"
E324,Madison Fox,AI Research,8.0,,Pune,"CI/CD Pipelines, Data Governance, Scrum Methodology"
E325,Karina Scott,Cybersecurity,1.2,,Chennai,".Net, UI/UX Design, DevOps Practices"
E326,Harry Huffman,AI Research,9.9,,Delhi,"CI/CD Pipelines, Data Privacy Compliance, .Net"
E327,Briana Payne,Cybersecurity,6.4,,Pune,"GraphQL, Java, GraphQL API Development"
E328,Nicholas Huynh,Full Stack Dev,13.6,,Delhi,"PostgreSQL, IoT, Cloud Security"
E329,Rhonda Hampton,Cloud Engineering,7.2,,Chennai,"Java, Data Quality Management, NoSQL Database Management"
E330,Ricardo Reed,Cloud Engineering,1.0,,Pune,"Node.js, Network Security, Azure"
E331,Debra Young,DevOps,14.5,,Chennai,"SQL, AWS, Docker"
E332,Joseph Ryan,DevOps,6.4,,Pune,"Serverless Architecture, Node.js, Robotic Process Automation"
E333,Madeline Waters,Data Science,8.6,,Delhi,"Jenkins, Kubernetes, PostgreSQL"
E334,Joy Burns,Full Stack Dev,4.5,,Pune,"Mobile Development, Big Data, Microservices Architecture"
E335,Michelle Robinson,Cloud Engineering,14.5,,Mumbai,"Network Security, Data Mesh Architecture, Real-time Data Processing"
E336,Christine Hall,Data Science,12.8,,Chennai,"Microservices, NLP, Data Lake Implementation"
E337,Emily Garcia,DevOps,12.0,,Chennai,"UI/UX Design, Edge Computing, Node.js"
E338,Douglas Lawrence,DevOps,6.9,,Mumbai,"Healthcare Analytics, Microservices, Data Visualization"
E339,Elizabeth Benson,Cybersecurity,9.3,,Pune,"Python, DevOps Practices, Data Privacy Compliance"
E340,Jeffery Horn,Full Stack Dev,13.2,,Delhi,"Quantum Computing, Container Orchestration, IoT"
E341,Paul Jones,Cybersecurity,11.5,,Delhi,"Jenkins, Scrum Methodology, IoT"
E342,Maria Obrien,AI Research,10.1,,Mumbai,"Agile, Data Lake Implementation, Azure"
E343,William Myers,Data Science,3.3,,Pune,"Jenkins, Microservices Architecture, Agile Project Management"
E344,Destiny Chen,Cybersecurity,13.8,,Chennai,"Robotic Process Automation, SQL Database Management, Scrum"
E345,Paul Jackson,Full Stack Dev,10.3,,Pune,"Data Visualization, Quantum Computing, Agile Project Management"
E346,Scott Thomas,Full Stack Dev,3.6,,Chennai,"Terraform, Scrum, Machine Learning"
E347,Karen Johnson,DevOps,13.6,,Pune,"UI/UX Design, Azure, Incident Response"
E348,Robert Wiggins PhD,AI Research,7.4,,Mumbai,"Scrum Methodology, AWS, REST APIs"
E349,Jane Moreno,Cloud Engineering,2.5,,Mumbai,"Serverless Architecture, Data Privacy Compliance, Cybersecurity"
E350,Jill Farley,Full Stack Dev,8.2,,Chennai,"Jenkins, GraphQL, Kubernetes"
E351,Taylor Johnson,AI Research,8.1,,Delhi,"Business Intelligence, Agile, Network Security"
E352,Elizabeth Campbell,Cybersecurity,8.6,,Mumbai,"Incident Response, Data Warehousing, Terraform"
E353,Peter Vargas,AI Research,1.0,,Chennai,"Data Mesh Architecture, Blockchain, Agile Project Management"
E354,Billy Johnson,Cybersecurity,14.4,,Delhi,"Data Governance, Serverless Architecture, Network Security"
E355,Lynn Anderson,Full Stack Dev,13.4,,Chennai,"Jenkins, Python, Incident Response"
E356,Mary Johnson,Data Science,10.3,,Chennai,"Data Governance, Big Data, GraphQL"
E357,Javier Russell,Full Stack Dev,9.4,,Delhi,"NoSQL, Data Engineering, Data Quality Management"
E358,Karen Ayala,Cybersecurity,13.7,,Chennai,"React, Cloud Security, Edge Computing"
E359,Ashley Johnson,Cybersecurity,11.3,,Pune,"Healthcare Analytics, PostgreSQL, Azure"
E360,Brett Fisher,Full Stack Dev,12.5,,Delhi,"SQL Database Management, Data Visualization, UI/UX Design"
E361,Angela Mcguire,Full Stack Dev,6.4,,Chennai,"Agile, NoSQL Database Management, Agile Project Management"
E362,Brian Terry,Cybersecurity,13.2,,Chennai,"Data Mesh Architecture, Data Quality Management, CI/CD Pipelines"
E363,Zachary Thomas,Cloud Engineering,4.2,,Mumbai,"Microservices, SQL, Network Security"
E364,Veronica Bailey,Data Science,8.9,,Delhi,"Data Governance, Robotic Process Automation, Healthcare Analytics"
E365,Lawrence Hayes,Data Science,10.6,,Delhi,".Net, SQL Database Management, Jenkins"
E366,Heather Hernandez,Full Stack Dev,2.2,,Delhi,"TensorFlow, Healthcare Analytics, Blockchain"
E367,James Harris,Data Science,10.1,,Delhi,"GraphQL, Cloud Security, Scrum Methodology"
E368,Justin Walker,DevOps,1.2,,Mumbai,"CI/CD, GraphQL, Mobile Development"
E369,Jason Moreno,Full Stack Dev,6.1,,Chennai,"Terraform, AWS, GraphQL API Development"
E370,Mr. Jeffery Jones,DevOps,5.4,,Delhi,"TensorFlow, NLP, Data Lake Implementation"
E371,Misty Sellers,Cybersecurity,2.3,,Delhi,"TensorFlow, Microservices Architecture, REST APIs"
E372,Corey Kane,Full Stack Dev,2.2,,Chennai,".Net, PostgreSQL, SQL Database Management"
E373,Chelsea Vasquez,DevOps,4.9,,Delhi,"Agile, SQL Database Management, Container Orchestration"
E374,Dominic Wolf,Full Stack Dev,5.3,,Mumbai,"Real-time Data Processing, Microservices Architecture, Blockchain"
